id,id_entrepot,id_proprietaire,datetime,capteur1,capteur2,capteur3
HUM-ENT016-00001,ENT016,OWN016,2024-01-01 00:00:00,83.63,84.63,83.65
HUM-ENT016-00002,ENT016,OWN016,2024-01-01 01:00:00,85.49,85.48,85.5
HUM-ENT016-00003,ENT016,OWN016,2024-01-01 02:00:00,85.32,84.86,85.08
HUM-ENT016-00004,ENT016,OWN016,2024-01-01 03:00:00,85.03,84.01,83.98
HUM-ENT016-00005,ENT016,OWN016,2024-01-01 04:00:00,83.5,83.74,83.83
HUM-ENT016-00006,ENT016,OWN016,2024-01-01 05:00:00,83.25,83.77,83.1
HUM-ENT016-00007,ENT016,OWN016,2024-01-01 06:00:00,80.88,81.13,80.86
HUM-ENT016-00008,ENT016,OWN016,2024-01-01 07:00:00,79.88,79.01,79.94
HUM-ENT016-00009,ENT016,OWN016,2024-01-01 08:00:00,78.21,78.51,78.5
HUM-ENT016-00010,ENT016,OWN016,2024-01-01 09:00:00,74.35,74.37,73.8
HUM-ENT016-00011,ENT016,OWN016,2024-01-01 10:00:00,73.06,72.96,73.02
HUM-ENT016-00012,ENT016,OWN016,2024-01-01 11:00:00,71.56,71.02,72.24
HUM-ENT016-00013,ENT016,OWN016,2024-01-01 12:00:00,70.01,70.72,69.08
HUM-ENT016-00014,ENT016,OWN016,2024-01-01 13:00:00,69.43,69.98,69.88
HUM-ENT016-00015,ENT016,OWN016,2024-01-01 14:00:00,69.14,69.26,67.87
HUM-ENT016-00016,ENT016,OWN016,2024-01-01 15:00:00,68.44,68.49,68.38
HUM-ENT016-00017,ENT016,OWN016,2024-01-01 16:00:00,70.21,69.56,69.99
HUM-ENT016-00018,ENT016,OWN016,2024-01-01 17:00:00,72.6,72.21,72.67
HUM-ENT016-00019,ENT016,OWN016,2024-01-01 18:00:00,84.02,84.61,84.98
HUM-ENT016-00020,ENT016,OWN016,2024-01-01 19:00:00,85.07,85.44,85.72
HUM-ENT016-00021,ENT016,OWN016,2024-01-01 20:00:00,83.12,83.8,84.18
HUM-ENT016-00022,ENT016,OWN016,2024-01-01 21:00:00,81.55,82.48,82.11
HUM-ENT016-00023,ENT016,OWN016,2024-01-01 22:00:00,84.76,83.72,83.58
HUM-ENT016-00024,ENT016,OWN016,2024-01-01 23:00:00,84.45,83.71,83.47
HUM-ENT016-00025,ENT016,OWN016,2024-01-02 00:00:00,83.72,84.78,84.47
HUM-ENT016-00026,ENT016,OWN016,2024-01-02 01:00:00,83.86,83.85,82.89
HUM-ENT016-00027,ENT016,OWN016,2024-01-02 02:00:00,85.93,86.15,85.92
HUM-ENT016-00028,ENT016,OWN016,2024-01-02 03:00:00,84.63,84.57,85.06
HUM-ENT016-00029,ENT016,OWN016,2024-01-02 04:00:00,85.62,86.17,84.97
HUM-ENT016-00030,ENT016,OWN016,2024-01-02 05:00:00,82.68,82.13,82.97
HUM-ENT016-00031,ENT016,OWN016,2024-01-02 06:00:00,81.9,82.25,83.11
HUM-ENT016-00032,ENT016,OWN016,2024-01-02 07:00:00,78.96,79.61,78.89
HUM-ENT016-00033,ENT016,OWN016,2024-01-02 08:00:00,78.52,77.7,77.96
HUM-ENT016-00034,ENT016,OWN016,2024-01-02 09:00:00,75.19,74.91,74.45
HUM-ENT016-00035,ENT016,OWN016,2024-01-02 10:00:00,71.97,70.77,72.42
HUM-ENT016-00036,ENT016,OWN016,2024-01-02 11:00:00,69.87,69.95,69.95
HUM-ENT016-00037,ENT016,OWN016,2024-01-02 12:00:00,68.91,69.24,68.02
HUM-ENT016-00038,ENT016,OWN016,2024-01-02 13:00:00,70.18,70.2,69.24
HUM-ENT016-00039,ENT016,OWN016,2024-01-02 14:00:00,68.58,68.36,68.3
HUM-ENT016-00040,ENT016,OWN016,2024-01-02 15:00:00,69.77,68.97,69.31
HUM-ENT016-00041,ENT016,OWN016,2024-01-02 16:00:00,69.99,70.74,70.3
HUM-ENT016-00042,ENT016,OWN016,2024-01-02 17:00:00,71.18,71.53,71.6
HUM-ENT016-00043,ENT016,OWN016,2024-01-02 18:00:00,84.12,84.52,83.94
HUM-ENT016-00044,ENT016,OWN016,2024-01-02 19:00:00,84.18,83.98,84.21
HUM-ENT016-00045,ENT016,OWN016,2024-01-02 20:00:00,85.02,85.47,85.52
HUM-ENT016-00046,ENT016,OWN016,2024-01-02 21:00:00,86.32,87.1,86.88
HUM-ENT016-00047,ENT016,OWN016,2024-01-02 22:00:00,84.49,84.26,85.29
HUM-ENT016-00048,ENT016,OWN016,2024-01-02 23:00:00,84.26,84.27,84.56
HUM-ENT016-00049,ENT016,OWN016,2024-01-03 00:00:00,86.22,86.09,84.96
HUM-ENT016-00050,ENT016,OWN016,2024-01-03 01:00:00,85.0,83.85,84.13
HUM-ENT016-00051,ENT016,OWN016,2024-01-03 02:00:00,85.03,85.48,85.53
HUM-ENT016-00052,ENT016,OWN016,2024-01-03 03:00:00,83.68,83.75,84.33
