id,id_entrepot,datetime,capteur1,capteur2,capteur3
TMP-ENT006-00001,ENT006,2024-01-01 00:00:00,11.47,11.59,11.26
TMP-ENT006-00002,ENT006,2024-01-01 01:00:00,10.96,10.49,10.83
TMP-ENT006-00003,ENT006,2024-01-01 02:00:00,10.33,10.92,10.64
TMP-ENT006-00004,ENT006,2024-01-01 03:00:00,10.07,10.49,10.55
TMP-ENT006-00005,ENT006,2024-01-01 04:00:00,10.9,10.14,11.24
TMP-ENT006-00006,ENT006,2024-01-01 05:00:00,13.48,14.03,13.79
TMP-ENT006-00007,ENT006,2024-01-01 06:00:00,15.63,15.57,15.13
TMP-ENT006-00008,ENT006,2024-01-01 07:00:00,17.64,17.22,16.77
TMP-ENT006-00009,ENT006,2024-01-01 08:00:00,17.65,17.79,17.12
TMP-ENT006-00010,ENT006,2024-01-01 09:00:00,17.51,16.99,17.84
TMP-ENT006-00011,ENT006,2024-01-01 10:00:00,19.72,19.27,19.39
TMP-ENT006-00012,ENT006,2024-01-01 11:00:00,19.27,19.46,19.18
TMP-ENT006-00013,ENT006,2024-01-01 12:00:00,19.21,18.72,19.19
TMP-ENT006-00014,ENT006,2024-01-01 13:00:00,18.43,18.49,18.62
TMP-ENT006-00015,ENT006,2024-01-01 14:00:00,18.44,17.61,17.03
TMP-ENT006-00016,ENT006,2024-01-01 15:00:00,16.28,16.39,16.37
TMP-ENT006-00017,ENT006,2024-01-01 16:00:00,15.12,14.87,15.32
TMP-ENT006-00018,ENT006,2024-01-01 17:00:00,13.86,14.11,13.96
TMP-ENT006-00019,ENT006,2024-01-01 18:00:00,10.86,11.54,10.12
TMP-ENT006-00020,ENT006,2024-01-01 19:00:00,11.8,11.44,10.59
TMP-ENT006-00021,ENT006,2024-01-01 20:00:00,11.37,10.95,11.27
TMP-ENT006-00022,ENT006,2024-01-01 21:00:00,10.02,10.44,9.95
TMP-ENT006-00023,ENT006,2024-01-01 22:00:00,11.32,11.36,11.04
TMP-ENT006-00024,ENT006,2024-01-01 23:00:00,10.36,10.1,10.31
TMP-ENT006-00025,ENT006,2024-01-02 00:00:00,11.05,10.7,11.18
TMP-ENT006-00026,ENT006,2024-01-02 01:00:00,11.18,11.06,10.95
TMP-ENT006-00027,ENT006,2024-01-02 02:00:00,11.66,11.39,11.52
TMP-ENT006-00028,ENT006,2024-01-02 03:00:00,10.56,10.5,10.51
TMP-ENT006-00029,ENT006,2024-01-02 04:00:00,11.62,11.09,11.97
TMP-ENT006-00030,ENT006,2024-01-02 05:00:00,13.64,13.36,13.96
TMP-ENT006-00031,ENT006,2024-01-02 06:00:00,15.93,16.06,15.16
TMP-ENT006-00032,ENT006,2024-01-02 07:00:00,16.58,16.61,16.08
