client_id,lat,lon,type_requis
C0801,35.278953,-2.881749,climatise
C0802,33.709046,-7.456408,sec
C0803,35.569171,-5.299207,sec
C0804,33.332889,-7.649818,climatise
C0805,33.199506,-8.521347,standard
C0806,35.286723,-2.963406,standard
C0807,34.739998,-1.914101,sec
C0808,33.855928,-5.568106,froid
C0809,34.788325,-1.944599,climatise
C0810,31.64748,-7.91182,sec
C0811,34.23046,-4.067386,sec
C0812,31.745898,-7.87106,climatise
C0813,30.499558,-9.569486,standard
C0814,33.382723,-7.572395,standard
C0815,33.330516,-7.517193,climatise
C0816,32.250242,-9.179433,climatise
C0817,32.982132,-7.555018,climatise
C0818,33.773427,-7.311519,froid
C0819,35.692077,-5.363233,froid
C0820,32.262518,-6.44406,sec
C0821,33.54408,-7.518706,climatise
C0822,32.246974,-6.275318,sec
C0823,34.035406,-6.993792,standard
C0824,32.349348,-9.15412,froid
C0825,30.474292,-9.604327,standard
C0826,33.710367,-7.440073,standard
C0827,31.698964,-7.94398,climatise
C0828,33.765277,-6.065512,standard
C0829,33.812067,-5.510157,standard
C0830,32.953857,-7.524952,standard
C0831,34.298045,-6.554723,climatise
C0832,34.745884,-1.831667,sec
C0833,33.990952,-5.507505,climatise
C0834,35.672745,-5.711466,climatise
C0835,33.155827,-8.598857,climatise
C0836,31.703018,-8.072308,standard
C0837,34.053214,-5.108296,froid
C0838,35.668589,-5.885455,standard
C0839,34.007042,-4.958619,climatise
C0840,33.957403,-5.044986,climatise
C0841,33.451622,-7.611647,climatise
C0842,34.187331,-3.909305,froid
C0843,34.248607,-4.023408,standard
C0844,35.292698,-2.832465,climatise
C0845,30.354644,-9.436437,climatise
C0846,32.246865,-9.182398,standard
C0847,33.232682,-8.582208,climatise
C0848,33.899639,-6.115258,sec
C0849,33.699564,-7.37533,sec
C0850,33.86342,-5.574289,froid
C0851,32.495995,-6.233446,sec
C0852,35.502246,-5.44029,standard
C0853,30.429503,-9.45804,climatise
C0854,33.825635,-5.573749,sec
C0855,33.656904,-7.351209,sec
C0856,32.264046,-9.217898,standard
C0857,31.720855,-8.078205,standard
C0858,33.990583,-5.425447,climatise
C0859,30.321294,-9.586504,froid
C0860,32.248782,-9.160633,climatise
C0861,34.242203,-6.411056,climatise
C0862,32.469605,-6.24397,sec
C0863,35.128871,-2.808316,sec
C0864,29.090486,-9.937663,climatise
C0865,33.82509,-6.139366,froid
C0866,33.974861,-5.552061,froid
C0867,33.312299,-7.645123,standard
C0868,33.990152,-6.864035,standard
C0869,33.60733,-7.483902,standard
C0870,31.577523,-8.041083,sec
C0871,31.599753,-7.927035,froid
C0872,33.637751,-7.308658,climatise
C0873,30.43909,-9.647792,sec
C0874,31.770476,-8.004604,climatise
C0875,32.246844,-9.277311,climatise
C0876,30.303702,-9.662122,standard
C0877,33.853214,-5.526984,climatise
C0878,32.212603,-9.237455,froid
C0879,33.832289,-5.413489,standard
C0880,34.21017,-6.636817,sec
C0881,34.298983,-6.629057,climatise
C0882,34.797293,-1.932637,sec
C0883,33.025656,-7.686968,sec
C0884,33.372923,-7.527698,standard
C0885,35.611503,-5.434908,sec
C0886,33.664887,-7.439317,climatise
C0887,33.267788,-8.431005,standard
C0888,33.265279,-7.548495,froid
C0889,33.485333,-7.482984,climatise
C0890,35.522915,-5.462276,froid
C0891,33.873761,-5.510722,sec
C0892,32.967333,-7.557515,sec
C0893,34.618611,-1.865849,froid
C0894,30.445244,-9.64644,standard
C0895,35.231872,-2.875286,standard
C0896,30.418033,-9.417975,sec
C0897,35.781995,-5.840318,sec
C0898,33.940977,-6.798811,standard
C0899,33.064201,-7.639147,climatise
C0900,31.631603,-7.818239,standard
