id,id_entrepot,id_proprietaire,datetime,capteur1,capteur2,capteur3
HUM-ENT007-00001,ENT007,OWN007,2024-01-01 00:00:00,85.98,86.48,86.59
HUM-ENT007-00002,ENT007,OWN007,2024-01-01 01:00:00,86.29,85.51,85.61
HUM-ENT007-00003,ENT007,OWN007,2024-01-01 02:00:00,85.88,86.36,86.69
HUM-ENT007-00004,ENT007,OWN007,2024-01-01 03:00:00,85.66,84.71,85.49
HUM-ENT007-00005,ENT007,OWN007,2024-01-01 04:00:00,87.35,86.97,87.68
HUM-ENT007-00006,ENT007,OWN007,2024-01-01 05:00:00,84.62,83.83,84.12
HUM-ENT007-00007,ENT007,OWN007,2024-01-01 06:00:00,82.88,82.83,82.53
HUM-ENT007-00008,ENT007,OWN007,2024-01-01 07:00:00,80.19,80.4,80.52
HUM-ENT007-00009,ENT007,OWN007,2024-01-01 08:00:00,78.67,78.8,79.8
HUM-ENT007-00010,ENT007,OWN007,2024-01-01 09:00:00,77.17,76.72,76.59
HUM-ENT007-00011,ENT007,OWN007,2024-01-01 10:00:00,74.17,74.47,75.01
HUM-ENT007-00012,ENT007,OWN007,2024-01-01 11:00:00,72.46,71.68,73.39
HUM-ENT007-00013,ENT007,OWN007,2024-01-01 12:00:00,71.15,71.5,71.13
HUM-ENT007-00014,ENT007,OWN007,2024-01-01 13:00:00,72.1,72.31,73.06
HUM-ENT007-00015,ENT007,OWN007,2024-01-01 14:00:00,70.83,70.04,70.9
HUM-ENT007-00016,ENT007,OWN007,2024-01-01 15:00:00,70.98,70.7,71.35
HUM-ENT007-00017,ENT007,OWN007,2024-01-01 16:00:00,72.83,73.23,71.92
HUM-ENT007-00018,ENT007,OWN007,2024-01-01 17:00:00,71.64,71.07,71.11
HUM-ENT007-00019,ENT007,OWN007,2024-01-01 18:00:00,86.32,87.42,86.13
HUM-ENT007-00020,ENT007,OWN007,2024-01-01 19:00:00,87.04,87.29,86.29
HUM-ENT007-00021,ENT007,OWN007,2024-01-01 20:00:00,85.69,85.63,85.43
HUM-ENT007-00022,ENT007,OWN007,2024-01-01 21:00:00,86.77,86.68,86.87
HUM-ENT007-00023,ENT007,OWN007,2024-01-01 22:00:00,85.71,85.97,86.25
HUM-ENT007-00024,ENT007,OWN007,2024-01-01 23:00:00,86.94,86.92,87.5
HUM-ENT007-00025,ENT007,OWN007,2024-01-02 00:00:00,87.18,87.84,87.54
HUM-ENT007-00026,ENT007,OWN007,2024-01-02 01:00:00,87.24,86.97,86.97
HUM-ENT007-00027,ENT007,OWN007,2024-01-02 02:00:00,86.26,86.43,86.32
HUM-ENT007-00028,ENT007,OWN007,2024-01-02 03:00:00,86.52,86.32,86.9
HUM-ENT007-00029,ENT007,OWN007,2024-01-02 04:00:00,86.31,85.83,86.67
HUM-ENT007-00030,ENT007,OWN007,2024-01-02 05:00:00,83.67,83.91,85.1
HUM-ENT007-00031,ENT007,OWN007,2024-01-02 06:00:00,83.21,83.07,83.01
HUM-ENT007-00032,ENT007,OWN007,2024-01-02 07:00:00,80.98,80.46,80.2
HUM-ENT007-00033,ENT007,OWN007,2024-01-02 08:00:00,80.08,79.98,79.77
HUM-ENT007-00034,ENT007,OWN007,2024-01-02 09:00:00,76.0,75.65,75.57
HUM-ENT007-00035,ENT007,OWN007,2024-01-02 10:00:00,74.11,74.38,74.67
HUM-ENT007-00036,ENT007,OWN007,2024-01-02 11:00:00,73.46,73.68,73.72
HUM-ENT007-00037,ENT007,OWN007,2024-01-02 12:00:00,71.64,71.72,71.61
HUM-ENT007-00038,ENT007,OWN007,2024-01-02 13:00:00,71.37,71.95,72.58
HUM-ENT007-00039,ENT007,OWN007,2024-01-02 14:00:00,71.12,72.1,71.87
HUM-ENT007-00040,ENT007,OWN007,2024-01-02 15:00:00,70.39,70.35,70.72
HUM-ENT007-00041,ENT007,OWN007,2024-01-02 16:00:00,71.48,71.93,71.67
HUM-ENT007-00042,ENT007,OWN007,2024-01-02 17:00:00,72.66,72.14,71.47
HUM-ENT007-00043,ENT007,OWN007,2024-01-02 18:00:00,86.52,87.27,87.56
HUM-ENT007-00044,ENT007,OWN007,2024-01-02 19:00:00,86.3,86.08,86.48
HUM-ENT007-00045,ENT007,OWN007,2024-01-02 20:00:00,86.0,86.1,85.93
HUM-ENT007-00046,ENT007,OWN007,2024-01-02 21:00:00,85.85,85.36,86.61
HUM-ENT007-00047,ENT007,OWN007,2024-01-02 22:00:00,84.33,84.07,83.75
HUM-ENT007-00048,ENT007,OWN007,2024-01-02 23:00:00,86.01,86.12,85.16
HUM-ENT007-00049,ENT007,OWN007,2024-01-03 00:00:00,88.19,87.92,88.41
HUM-ENT007-00050,ENT007,OWN007,2024-01-03 01:00:00,87.21,85.64,86.61
HUM-ENT007-00051,ENT007,OWN007,2024-01-03 02:00:00,86.36,85.25,84.66
HUM-ENT007-00052,ENT007,OWN007,2024-01-03 03:00:00,85.97,85.36,85.63
HUM-ENT007-00053,ENT007,OWN007,2024-01-03 04:00:00,85.93,87.37,86.7
HUM-ENT007-00054,ENT007,OWN007,2024-01-03 05:00:00,86.67,86.81,85.91
HUM-ENT007-00055,ENT007,OWN007,2024-01-03 06:00:00,84.15,83.45,82.71
HUM-ENT007-00056,ENT007,OWN007,2024-01-03 07:00:00,79.83,79.32,79.69
HUM-ENT007-00057,ENT007,OWN007,2024-01-03 08:00:00,77.51,79.59,78.58
HUM-ENT007-00058,ENT007,OWN007,2024-01-03 09:00:00,77.44,76.98,77.64
HUM-ENT007-00059,ENT007,OWN007,2024-01-03 10:00:00,73.3,72.92,73.44
HUM-ENT007-00060,ENT007,OWN007,2024-01-03 11:00:00,72.99,73.3,73.81
HUM-ENT007-00061,ENT007,OWN007,2024-01-03 12:00:00,71.32,72.01,70.83
HUM-ENT007-00062,ENT007,OWN007,2024-01-03 13:00:00,71.08,71.01,71.81
HUM-ENT007-00063,ENT007,OWN007,2024-01-03 14:00:00,69.93,69.47,71.07
HUM-ENT007-00064,ENT007,OWN007,2024-01-03 15:00:00,72.16,72.23,72.44
HUM-ENT007-00065,ENT007,OWN007,2024-01-03 16:00:00,71.69,72.35,71.81
HUM-ENT007-00066,ENT007,OWN007,2024-01-03 17:00:00,72.32,72.51,73.49
HUM-ENT007-00067,ENT007,OWN007,2024-01-03 18:00:00,86.22,85.2,86.88
