nom_entrepot,date,temperature,humidite
Hub Casablanca,2025-01-01 00:00:00,2.37,88.58
Hub Casablanca,2025-01-01 01:00:00,2.05,89.58
Hub Casablanca,2025-01-01 02:00:00,2.44,83.55
Hub Casablanca,2025-01-01 03:00:00,2.88,85.71
Hub Casablanca,2025-01-01 04:00:00,2.0,82.33
Hub Casablanca,2025-01-01 05:00:00,2.0,79.15
Hub Casablanca,2025-01-01 06:00:00,2.9,82.78
Hub Casablanca,2025-01-01 07:00:00,2.5,83.38
Hub Casablanca,2025-01-01 08:00:00,1.88,83.94
Hub Casablanca,2025-01-01 09:00:00,2.38,82.12
Hub Casablanca,2025-01-01 10:00:00,1.88,82.8
Hub Casablanca,2025-01-01 11:00:00,1.88,84.97
Hub Casablanca,2025-01-01 12:00:00,2.23,82.69
Hub Casablanca,2025-01-01 13:00:00,1.15,86.63
Hub Casablanca,2025-01-01 14:00:00,1.25,87.04
Hub Casablanca,2025-01-01 15:00:00,1.83,92.14
Hub Casablanca,2025-01-01 16:00:00,1.6,88.38
Hub Casablanca,2025-01-01 17:00:00,2.27,85.73
Hub Casablanca,2025-01-01 18:00:00,1.65,83.14
Hub Casablanca,2025-01-01 19:00:00,1.4,85.88
Hub Casablanca,2025-01-01 20:00:00,2.84,85.98
Hub Casablanca,2025-01-01 21:00:00,1.99,83.46
Hub Casablanca,2025-01-01 22:00:00,2.14,87.35
Hub Casablanca,2025-01-01 23:00:00,1.39,80.81
Hub Casablanca,2025-01-02 00:00:00,1.83,84.27
Hub Casablanca,2025-01-02 01:00:00,2.16,86.67
Hub Casablanca,2025-01-02 02:00:00,1.53,84.14
Hub Casablanca,2025-01-02 03:00:00,2.29,84.38
Hub Casablanca,2025-01-02 04:00:00,1.8,84.59
Hub Casablanca,2025-01-02 05:00:00,1.96,82.49
Hub Casablanca,2025-01-02 06:00:00,1.8,88.52
Hub Casablanca,2025-01-02 07:00:00,3.03,81.95
Hub Casablanca,2025-01-02 08:00:00,2.1,85.95
Hub Casablanca,2025-01-02 09:00:00,1.57,86.24
Hub Casablanca,2025-01-02 10:00:00,2.51,82.15
Hub Casablanca,2025-01-02 11:00:00,1.49,85.22
Hub Casablanca,2025-01-02 12:00:00,2.2,82.27
Hub Casablanca,2025-01-02 13:00:00,1.12,89.17
Hub Casablanca,2025-01-02 14:00:00,1.44,81.58
Hub Casablanca,2025-01-02 15:00:00,2.2,83.04
Hub Casablanca,2025-01-02 16:00:00,2.47,81.33
Hub Casablanca,2025-01-02 17:00:00,2.18,80.93
Hub Casablanca,2025-01-02 18:00:00,2.04,89.77
Hub Casablanca,2025-01-02 19:00:00,1.95,86.63
Hub Casablanca,2025-01-02 20:00:00,1.36,85.42
Hub Casablanca,2025-01-02 21:00:00,1.74,83.03
Hub Casablanca,2025-01-02 22:00:00,1.87,87.72
Hub Casablanca,2025-01-02 23:00:00,2.62,82.53
Hub Casablanca,2025-01-03 00:00:00,2.27,87.38
Hub Casablanca,2025-01-03 01:00:00,1.21,82.38
Hub Casablanca,2025-01-03 02:00:00,2.26,83.07
Hub Casablanca,2025-01-03 03:00:00,1.9,87.27
Hub Casablanca,2025-01-03 04:00:00,1.75,87.59
Hub Casablanca,2025-01-03 05:00:00,2.4,86.79
Hub Casablanca,2025-01-03 06:00:00,2.61,81.85
Hub Casablanca,2025-01-03 07:00:00,2.56,83.66
Hub Casablanca,2025-01-03 08:00:00,1.67,85.47
Hub Casablanca,2025-01-03 09:00:00,1.94,82.45
Hub Casablanca,2025-01-03 10:00:00,2.26,89.11
Hub Casablanca,2025-01-03 11:00:00,2.58,77.79
Hub Casablanca,2025-01-03 12:00:00,1.85,82.66
Hub Casablanca,2025-01-03 13:00:00,2.0,83.47
Hub Casablanca,2025-01-03 14:00:00,1.54,76.47
Hub Casablanca,2025-01-03 15:00:00,1.49,80.81
Hub Casablanca,2025-01-03 16:00:00,2.49,86.88
Hub Casablanca,2025-01-03 17:00:00,2.77,85.09
Hub Casablanca,2025-01-03 18:00:00,2.05,89.72
Hub Casablanca,2025-01-03 19:00:00,2.59,89.64
Hub Casablanca,2025-01-03 20:00:00,2.27,86.3
Hub Casablanca,2025-01-03 21:00:00,1.76,85.94
Hub Casablanca,2025-01-03 22:00:00,2.27,85.2
Hub Casablanca,2025-01-03 23:00:00,2.85,77.03
Hub Casablanca,2025-01-04 00:00:00,2.07,80.82
Hub Casablanca,2025-01-04 01:00:00,2.87,85.3
Hub Casablanca,2025-01-04 02:00:00,0.77,86.85
Hub Casablanca,2025-01-04 03:00:00,2.49,85.87
Hub Casablanca,2025-01-04 04:00:00,2.13,82.32
Hub Casablanca,2025-01-04 05:00:00,1.93,87.81
Hub Casablanca,2025-01-04 06:00:00,2.13,89.45
Hub Casablanca,2025-01-04 07:00:00,1.09,87.81
Hub Casablanca,2025-01-04 08:00:00,1.97,87.97
Hub Casablanca,2025-01-04 09:00:00,2.26,83.32
Hub Casablanca,2025-01-04 10:00:00,2.82,88.23
Hub Casablanca,2025-01-04 11:00:00,1.82,85.44
Hub Casablanca,2025-01-04 12:00:00,1.68,86.53
Hub Casablanca,2025-01-04 13:00:00,1.83,86.1
Hub Casablanca,2025-01-04 14:00:00,2.54,84.64
Hub Casablanca,2025-01-04 15:00:00,2.24,82.42
Hub Casablanca,2025-01-04 16:00:00,1.81,84.75
Hub Casablanca,2025-01-04 17:00:00,2.33,87.96
Hub Casablanca,2025-01-04 18:00:00,2.13,83.68
Hub Casablanca,2025-01-04 19:00:00,2.56,87.68
Hub Casablanca,2025-01-04 20:00:00,1.73,87.21
Hub Casablanca,2025-01-04 21:00:00,1.91,84.1
Hub Casablanca,2025-01-04 22:00:00,1.88,89.17
Hub Casablanca,2025-01-04 23:00:00,1.34,83.93
Hub Casablanca,2025-01-05 00:00:00,2.22,89.53
Hub Casablanca,2025-01-05 01:00:00,2.21,86.3
Hub Casablanca,2025-01-05 02:00:00,2.08,84.95
Hub Casablanca,2025-01-05 03:00:00,1.96,82.34
Hub Casablanca,2025-01-05 04:00:00,1.37,84.74
Hub Casablanca,2025-01-05 05:00:00,1.86,84.39
Hub Casablanca,2025-01-05 06:00:00,1.9,81.23
Hub Casablanca,2025-01-05 07:00:00,1.67,84.35
Hub Casablanca,2025-01-05 08:00:00,1.99,82.59
Hub Casablanca,2025-01-05 09:00:00,2.27,86.76
Hub Casablanca,2025-01-05 10:00:00,3.01,88.92
Hub Casablanca,2025-01-05 11:00:00,2.16,81.32
Hub Casablanca,2025-01-05 12:00:00,2.2,90.14
Hub Casablanca,2025-01-05 13:00:00,2.03,84.61
Hub Casablanca,2025-01-05 14:00:00,1.11,82.07
Hub Casablanca,2025-01-05 15:00:00,2.06,87.27
Hub Casablanca,2025-01-05 16:00:00,2.1,83.66
Hub Casablanca,2025-01-05 17:00:00,3.3,84.75
Hub Casablanca,2025-01-05 18:00:00,1.97,83.79
Hub Casablanca,2025-01-05 19:00:00,2.22,82.55
Hub Casablanca,2025-01-05 20:00:00,2.05,87.17
Hub Casablanca,2025-01-05 21:00:00,1.48,84.14
Hub Casablanca,2025-01-05 22:00:00,2.64,80.69
Hub Casablanca,2025-01-05 23:00:00,2.44,86.65
Hub Casablanca,2025-01-06 00:00:00,2.46,81.38
Hub Casablanca,2025-01-06 01:00:00,1.61,81.54
Hub Casablanca,2025-01-06 02:00:00,2.77,88.58
Hub Casablanca,2025-01-06 03:00:00,1.36,81.41
Hub Casablanca,2025-01-06 04:00:00,2.36,78.05
Hub Casablanca,2025-01-06 05:00:00,3.16,86.87
Hub Casablanca,2025-01-06 06:00:00,1.57,84.09
Hub Casablanca,2025-01-06 07:00:00,1.78,84.35
Hub Casablanca,2025-01-06 08:00:00,2.11,84.06
Hub Casablanca,2025-01-06 09:00:00,1.81,85.7
Hub Casablanca,2025-01-06 10:00:00,1.29,82.74
Hub Casablanca,2025-01-06 11:00:00,2.1,89.43
Hub Casablanca,2025-01-06 12:00:00,1.53,80.57
Hub Casablanca,2025-01-06 13:00:00,2.3,86.33
Hub Casablanca,2025-01-06 14:00:00,1.6,86.93
Hub Casablanca,2025-01-06 15:00:00,2.84,82.72
Hub Casablanca,2025-01-06 16:00:00,1.67,81.93
Hub Casablanca,2025-01-06 17:00:00,1.9,88.05
Hub Casablanca,2025-01-06 18:00:00,2.47,82.03
Hub Casablanca,2025-01-06 19:00:00,1.44,83.18
Hub Casablanca,2025-01-06 20:00:00,2.17,87.66
Hub Casablanca,2025-01-06 21:00:00,2.71,85.1
Hub Casablanca,2025-01-06 22:00:00,1.25,79.61
Hub Casablanca,2025-01-06 23:00:00,2.15,90.24
Hub Casablanca,2025-01-07 00:00:00,2.19,83.41
Hub Casablanca,2025-01-07 01:00:00,2.45,83.79
Hub Casablanca,2025-01-07 02:00:00,1.44,85.77
Hub Casablanca,2025-01-07 03:00:00,1.4,86.88
Hub Casablanca,2025-01-07 04:00:00,2.32,90.88
Hub Casablanca,2025-01-07 05:00:00,2.2,80.02
Hub Casablanca,2025-01-07 06:00:00,2.18,87.48
Hub Casablanca,2025-01-07 07:00:00,2.23,87.23
Hub Casablanca,2025-01-07 08:00:00,1.72,84.59
Hub Casablanca,2025-01-07 09:00:00,2.17,87.36
Hub Casablanca,2025-01-07 10:00:00,2.2,87.8
Hub Casablanca,2025-01-07 11:00:00,1.7,80.85
Hub Casablanca,2025-01-07 12:00:00,2.99,90.25
Hub Casablanca,2025-01-07 13:00:00,2.29,80.32
Hub Casablanca,2025-01-07 14:00:00,1.46,81.59
Hub Casablanca,2025-01-07 15:00:00,2.38,84.21
Hub Casablanca,2025-01-07 16:00:00,1.57,90.77
Hub Casablanca,2025-01-07 17:00:00,2.45,84.08
Hub Casablanca,2025-01-07 18:00:00,2.63,84.9
Hub Casablanca,2025-01-07 19:00:00,1.64,89.3
Hub Casablanca,2025-01-07 20:00:00,2.53,84.1
Hub Casablanca,2025-01-07 21:00:00,2.26,81.46
Hub Casablanca,2025-01-07 22:00:00,2.46,83.75
Hub Casablanca,2025-01-07 23:00:00,3.0,89.11
Hub Casablanca,2025-01-08 00:00:00,1.93,85.21
Hub Casablanca,2025-01-08 01:00:00,1.67,90.79
Hub Casablanca,2025-01-08 02:00:00,1.6,87.21
Hub Casablanca,2025-01-08 03:00:00,1.64,83.07
Hub Casablanca,2025-01-08 04:00:00,2.01,85.15
Hub Casablanca,2025-01-08 05:00:00,2.22,82.44
Hub Casablanca,2025-01-08 06:00:00,2.19,82.99
Hub Casablanca,2025-01-08 07:00:00,2.46,98.44
Hub Casablanca,2025-01-08 08:00:00,2.05,88.06
Hub Casablanca,2025-01-08 09:00:00,2.77,87.58
Hub Casablanca,2025-01-08 10:00:00,1.91,83.13
Hub Casablanca,2025-01-08 11:00:00,3.41,89.71
Hub Casablanca,2025-01-08 12:00:00,2.36,88.3
Hub Casablanca,2025-01-08 13:00:00,1.62,90.64
Hub Casablanca,2025-01-08 14:00:00,1.51,90.5
Hub Casablanca,2025-01-08 15:00:00,2.29,80.56
Hub Casablanca,2025-01-08 16:00:00,1.93,81.67
Hub Casablanca,2025-01-08 17:00:00,2.4,81.99
Hub Casablanca,2025-01-08 18:00:00,2.28,82.17
Hub Casablanca,2025-01-08 19:00:00,2.01,85.97
Hub Casablanca,2025-01-08 20:00:00,1.62,83.3
Hub Casablanca,2025-01-08 21:00:00,1.29,91.22
Hub Casablanca,2025-01-08 22:00:00,1.82,90.71
Hub Casablanca,2025-01-08 23:00:00,2.47,84.98
Hub Casablanca,2025-01-09 00:00:00,2.15,90.87
Hub Casablanca,2025-01-09 01:00:00,1.42,89.46
Hub Casablanca,2025-01-09 02:00:00,2.13,83.65
Hub Casablanca,2025-01-09 03:00:00,2.23,78.97
Hub Casablanca,2025-01-09 04:00:00,1.6,84.35
Hub Casablanca,2025-01-09 05:00:00,2.12,83.07
Hub Casablanca,2025-01-09 06:00:00,2.07,85.62
Hub Casablanca,2025-01-09 07:00:00,1.47,85.27
Hub Casablanca,2025-01-09 08:00:00,2.22,85.19
Hub Casablanca,2025-01-09 09:00:00,2.32,86.57
Hub Casablanca,2025-01-09 10:00:00,2.58,81.36
Hub Casablanca,2025-01-09 11:00:00,2.57,86.23
Hub Casablanca,2025-01-09 12:00:00,1.35,83.68
Hub Casablanca,2025-01-09 13:00:00,1.57,85.6
